App.,Athlete,Representing,Birth/Death,Games,Period (age of first/last),Sport,Gold,Silver,Bronze,Total
6,Jim Elder,/ Canada,1934,"1956–1960, 1968–1976, 1984",28 years (22/50),Equestrian,1.0,0.0,1.0,2
6,Hans Fogh,Denmark (4) and Canada (2),1938–2014,"1960–1976, 1984",24 years (22/46),Sailing,0.0,1.0,1.0,2
6,Reiner Klimke,United Team of Germany (2) and West Germany (4),1936–1999,"1960–1976, 1984–1988",28 years (24/52),Equestrian,6.0,0.0,2.0,8
6,Colin Coates,Australia,1946,1968–1988,20 years (18/38),Speed skating,0.0,0.0,0.0,0
6,John Primrose,Canada,1942,"1968–1976, 1984–1992",24 years (26/50),Shooting,0.0,0.0,0.0,0
6,Jiří Pták,Czechoslovakia,1946,"1968–1980, 1988–1992",24 years (22/46),Rowing,0.0,0.0,0.0,0
6,Christilot Hanson-Boylen,/ Canada,1947,"1964–1976, 1984, 1992",28 years (17/45),Equestrian,0.0,0.0,0.0,0
6,Alfred Eder,Austria,1953,1976–1994,18 years (23/41),Biathlon,0.0,0.0,0.0,0
6,Marja-Liisa Kirvesniemi-Hämäläinen,Finland,1955,1976–1994,18 years (21/39),Cross-country skiing,3.0,0.0,4.0,7
6,Hugo Simon,Austria,1942,"1972–1976, 1984–1996",24 years (30/53),Equestrian,0.0,1.0,0.0,1
6,Luis Álvarez de Cervera,Spain/ Spain/ Spain,1947,"1972–1976, 1984–1996",24 years (25/49),Equestrian,0.0,0.0,0.0,0
6,Eric Swinkels,Netherlands,1949,"1972–1976, 1984–1996",24 years (23/47),Shooting,0.0,1.0,0.0,1
6,Anastasios Bountouris,Greece (1976) / Greece,1955,1976–1996,20 years (21/41),Sailing,0.0,0.0,1.0,1
6,Tessa Sanderson,Great Britain,1956,1976–1996,20 years (20/40),Athletics,1.0,0.0,0.0,1
6,"John Foster, Sr",United States Virgin Islands,1938,"1972–1976, 1984–1992 (S) + 1988 (W)[7]",20 years (34/54),Bobsleigh (1) and sailing (5),0.0,0.0,0.0,0
6,Harri Kirvesniemi,Finland,1958,1980–1998,18 years (21/39),Cross-country skiing,0.0,0.0,6.0,6
6,Jochen Behle,West Germany (3) and Germany (3),1960,1980–1998,18 years (19/37),Cross-country skiing,0.0,0.0,0.0,0
6,Christine Stückelberger,Switzerland,1947,"1972–1976, 1984–1988, 1996–2000",28 years (25/53),Equestrian,1.0,3.0,1.0,5
6,Nonka Matova,/ Bulgaria,1954,"1976–1980, 1988–2000",24 years (22/46),Shooting,0.0,1.0,0.0,1
6,Jochen Schümann,East Germany (3) and Germany (3),1954,"1976–1980, 1988–2000",24 years (22/46),Sailing,3.0,1.0,0.0,4
6,"Juan Giha, Jr.",Peru,1955,1980–2000,20 years (25/45),Shooting,0.0,1.0,0.0,1
6,Philippe Boccara,France (4) and United States (2),1959,1980–2000,20 years (21/41),Canoeing,0.0,0.0,1.0,1
6,Manuel Estiarte,Spain/ Spain,1961,1980–2000,20 years (18/38),Water polo,1.0,1.0,0.0,2
6,Angelo Mazzoni,Italy,1961,1980–2000,20 years (19/39),Fencing,2.0,0.0,1.0,3
6,Terry McHugh,Ireland,1963,"1988–2000 (S) + 1992, 1998 (W)[7]",12 years (25/37),Athletics (4) and bobsleigh (2),0.0,0.0,0.0,0
6,Michael Dixon,Great Britain,1962,1984–2002,18 years (22/40),Biathlon (5) and cross-country skiing (1),0.0,0.0,0.0,0
6,Raimo Helminen,Finland,1964,1984–2002,18 years (19/37),Ice hockey,0.0,1.0,2.0,3
6,Markus Prock,Austria,1964,1984–2002,18 years (19/37),Luge,0.0,2.0,1.0,3
6,Emese Hunyady,Hungary (1) and Austria (5),1966,1984–2002,18 years (17/35),Speed skating,1.0,1.0,1.0,3
6,Harald Stenvaag,Norway,1953,1984–2004,20 years (31/51),Shooting,0.0,1.0,1.0,2
6,Robert Dover,United States,1956,1984–2004,20 years (28/48),Equestrian,0.0,0.0,4.0,4
6,Colin Beashel,Australia,1959,1984–2004,20 years (24/44),Sailing,0.0,0.0,1.0,1
6,Torben Grael,Brazil,1960,1984–2004,20 years (24/44),Sailing,2.0,1.0,2.0,5
6,Wang Yifu,China,1960,1984–2004,20 years (24/44),Shooting,2.0,3.0,1.0,6
6,Birgit Fischer,East Germany (2) and Germany (4),1962,"1980, 1988–2004",24 years (18/42),Canoeing,8.0,4.0,0.0,12
6,Sorin Babii,Socialist Republic of Romania (2) and Romania (4),1963,1984–2004,20 years (20/40),Shooting,1.0,0.0,1.0,2
